date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:54:17	165042/165042	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202024%2020:24:04%20GMT	https://www.pakistantravelblog.com/	C:/My%20Web%20Sites/sdswd/www.pakistantravelblog.com/index.html	(from )
19:54:17	67/67	---MC-	200	added ('OK')	text/plain	date:Fri,%2013%20Sep%202024%2014:54:19%20GMT	https://www.pakistantravelblog.com/robots.txt		(from )
19:54:18	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2013%20Sep%202024%2014:54:21%20GMT	https://www.pakistantravelblog.com/xmlrpc.php	C:/My%20Web%20Sites/sdswd/www.pakistantravelblog.com/xmlrpc.php	(from https://www.pakistantravelblog.com/)
19:54:21	290962/290962	---M--	200	added ('OK')	text/css	date:Wed,%2020%20Mar%202024%2023:36:50%20GMT	http://www.pakistantravelblog.com/wp-content/cache/wpfc-minified/8yg86rma/huk44.css	C:/My%20Web%20Sites/sdswd/www.pakistantravelblog.com/wp-content/cache/wpfc-minified/8yg86rma/huk44.css	(from https://www.pakistantravelblog.com/)
19:54:22	28876/28876	---MC-	200	added ('OK')	text/xml	date:Fri,%2013%20Sep%202024%2014:54:22%20GMT	https://www.pakistantravelblog.com/feed/	C:/My%20Web%20Sites/sdswd/www.pakistantravelblog.com/feed/index.html	(from https://www.pakistantravelblog.com/)
19:54:25	7911/7911	---MC-	200	added ('OK')	text/xml	date:Fri,%2013%20Sep%202024%2014:54:22%20GMT	https://www.pakistantravelblog.com/comments/feed/	C:/My%20Web%20Sites/sdswd/www.pakistantravelblog.com/comments/feed/index.html	(from https://www.pakistantravelblog.com/)
19:54:42	69567/69567	---M--	200	added ('OK')	text/css	date:Wed,%2020%20Mar%202024%2023:36:50%20GMT	http://www.pakistantravelblog.com/wp-content/cache/wpfc-minified/7n9glxra/huk44.css	C:/My%20Web%20Sites/sdswd/www.pakistantravelblog.com/wp-content/cache/wpfc-minified/7n9glxra/huk44.css	(from https://www.pakistantravelblog.com/)
19:54:42	6758/6758	---M--	200	added ('OK')	text/css	date:Wed,%2020%20Mar%202024%2023:36:49%20GMT	http://www.pakistantravelblog.com/wp-content/cache/wpfc-minified/djojxqib/huk44.css	C:/My%20Web%20Sites/sdswd/www.pakistantravelblog.com/wp-content/cache/wpfc-minified/djojxqib/huk44.css	(from https://www.pakistantravelblog.com/)
19:54:43	63793/63793	---M--	200	added ('OK')	text/css	date:Wed,%2020%20Mar%202024%2023:36:49%20GMT	http://www.pakistantravelblog.com/wp-content/cache/wpfc-minified/6o4n8yg2/huk44.css	C:/My%20Web%20Sites/sdswd/www.pakistantravelblog.com/wp-content/cache/wpfc-minified/6o4n8yg2/huk44.css	(from https://www.pakistantravelblog.com/)
19:54:44	237080/237080	---M--	200	added ('OK')	text/css	date:Wed,%2020%20Mar%202024%2023:36:49%20GMT	http://www.pakistantravelblog.com/wp-content/cache/wpfc-minified/lnxf9l0w/huk3t.css	C:/My%20Web%20Sites/sdswd/www.pakistantravelblog.com/wp-content/cache/wpfc-minified/lnxf9l0w/huk3t.css	(from https://www.pakistantravelblog.com/)
19:54:46	32504/32504	---M--	200	added ('OK')	text/css	date:Wed,%2020%20Mar%202024%2023:36:49%20GMT	http://www.pakistantravelblog.com/wp-content/cache/wpfc-minified/jmf82593/huk3t.css	C:/My%20Web%20Sites/sdswd/www.pakistantravelblog.com/wp-content/cache/wpfc-minified/jmf82593/huk3t.css	(from https://www.pakistantravelblog.com/)
19:54:47	5322/5322	---M--	200	added ('OK')	application/javascript	date:Wed,%2020%20Mar%202024%2023:36:50%20GMT	http://www.pakistantravelblog.com/wp-content/cache/wpfc-minified/k95vk1so/huk44.js	C:/My%20Web%20Sites/sdswd/www.pakistantravelblog.com/wp-content/cache/wpfc-minified/k95vk1so/huk44.js	(from https://www.pakistantravelblog.com/)
